f6e013f5-ed7d-4691-897f-04da0b2037d1	a4ba20f1-94c1-4da5-974f-72f3389af6f0	01cae6dd-3b93-4abd-9f17-5fbc6a82863e	1d949e2f-8bdb-48b7-bcf5-171c37d9ad66	91cf56c5-dc13-4142-bed9-b9c342aec504	529f3a3a-5ef3-495d-93af-4aa316b2cbf4	4c090804-bb5e-4935-a9bc-85daf08dab41	ea26a9a5-7f76-4e80-ac47-2d2dee95a8e7	f0f57afb-d1d2-4de1-b05b-8306ca7ef9a5	3fa1e12a-e500-4478-8714-1581df255bb4	1e626f8b-ce4e-4a6a-ae29-82e7ec86b8b8	54e030ee-294e-4eea-a177-0d3cbc65efd5	bfede8e1-e9fd-434f-9f74-7b1cd424edd7	3dfecd3b-2532-4ca8-ac85-63465dd3e03e	d2b9638a-8c15-4d1d-b5cd-3efeeeed0f2f	631e73ff-42b9-47ca-b2a0-8dcc7558af6c	6813c146-ca62-4ff7-9add-01d23ccbeff0	6d7cb714-e814-458b-82b4-f83edfe4e901	25419c44-26ba-4084-9e13-3303fca5bb1a	ba26be3f-c2d9-4103-96e6-eacc0ff75afd	265da01f-bce1-4735-8184-43f42ba5f34b	985f49c5-a0d2-428d-98f4-b458b0c2c0da	ae015e92-34c1-45a4-818e-c5bc6d1100c9	074be6f7-95e8-4874-a959-f6ea3c4f9a57	e66fe6d2-f209-46d6-bee7-ac23ba1dda5f	76c63789-765d-4413-a79f-a1762baa2627	1a5cec06-30f2-4b70-9da0-ddfe28efcaea	4509ee29-d50a-493e-94bf-ac283f46c0dc
11389.4634160613	6504.5382033858	12055.3471995964	7257.8996960171	8307.1891118053	7007.3490137431	9972.1232790819	6019.2729100663	9136.5258421243	8194.7560328518	7844.7152266743	10077.5494876577	11652.6096944059	8882.5305303384	13192.82054025	12107.3424792396	9251.0189850623	9107.0781556585	10013.539461286	11886.5399250069	4070.8411738115	3379.9456786025	3021.0626618786	8454.5277332111	6711.4176683145	8084.4575241949	4680.4738056239	9701.4336664537
11374.3945166446	8612.8674323928	11648.8014597705	7582.5755121005	10678.0851150831	9216.0295355438	11326.2659687109	8943.9172348405	9832.7822068288	10037.7940636568	8903.9499474461	12979.4940095831	14277.9185355254	9449.4740602799	12262.3372447429	13223.2975718617	9410.7085292611	9145.1559341884	9202.8274638561	10982.4521019742	6727.6680506459	9536.9316844507	8631.8736406524	10143.4983375169	9590.0175834093	10555.7190462676	5947.8462414043	10843.9258769512
11044.5099449772	7505.2166021941	9667.3132682262	6983.7645503921	8802.2877509206	8131.7734155047	11211.1598621943	4805.7671356463	6441.1749734812	6269.9176713632	7679.7230131395	5658.0475688658	6491.248630414	8765.9635653182	10556.35486484	12911.7597975247	9132.0317744444	7118.2265569254	7254.9284721489	8278.0631269007	5520.2432463407	4713.1717164754	6416.6158606503	6623.8164457718	7473.7939691034	7014.2509590103	5275.9157960511	6379.0502726691
10998.6939393398	5410.6973643881	10155.2998805436	6217.6181952845	6161.5123108284	6177.7264932404	9608.242237249	7574.3194789157	10713.5194812553	9510.5496816056	7296.1173454624	9998.9061331427	8985.5042264733	4309.1797863139	5939.9628316416	6246.4069951696	3741.5173917616	7328.8640431521	8356.7391719844	8690.0188529012	7574.8984393408	8958.6934198333	10931.2776788823	9327.5144026912	8637.0901413882	9814.4582093513	5087.7734937482	8813.234906734
10948.57463437	4405.7479477355	12651.5892147566	5516.2245198604	6756.3771890252	2179.1275282856	9035.2734667993	6078.3503469133	7109.8726108395	6929.8228229445	4718.7251415623	10014.2445455067	13070.0067869485	6465.8159177066	15888.2362833588	10177.9264632542	8998.3274673256	8331.2014328339	9585.3318294541	11834.5720504163	2553.7841075482	5953.2242779438	3738.7560358659	6110.3875463482	4468.3467734136	7230.1697351214	1944.3503249451	8435.3885944601
10732.3043698564	6022.9839668728	11355.492178633	7002.7515326837	8048.6150231132	6023.0231574902	9590.7297104687	5898.9308112358	8921.3705504737	8050.1453200613	7056.3757339635	9236.6831440903	10485.7555070509	8433.1997952657	12000.0343845231	11603.3725499158	8880.7634512658	8635.9193496225	9517.2004585237	11097.2664813114	3809.7463894781	3300.5713526819	2972.6412622713	8208.3020150678	6332.8191844932	7903.4090284776	3634.1265904738	9214.1436285627
10730.4075050619	9975.2578621795	11818.174271045	8200.3567973464	10365.7333593856	10713.3081204685	10809.6734160591	7488.126300212	8664.1060272787	8979.0340083056	11151.6351184599	8572.3844948687	10027.3317819034	8800.9642099512	10960.7787492365	12613.6307509299	10469.2182166463	9546.6739202716	10005.1221401678	11751.5020625528	7027.9295907564	5763.378224284	7807.7192139527	8975.0782992656	10243.2443127378	9048.8176668335	7990.7661967789	9109.4873123564
10034.5807659074	4781.2921599151	12432.3794815162	5041.6131649567	6671.5452192984	4234.3697829457	8810.546005474	4606.5734452439	6902.9113243674	6257.5332589855	5193.3729111039	7116.8472186204	11973.7868722016	5618.9505854254	14877.9244396252	8868.3407196278	7162.535425956	8145.3743019135	9493.4621031042	11796.889107623	2021.5756741537	1995.7244311769	2029.6031695648	5186.4019843476	4146.6716991953	6297.2706274089	2875.6130436317	8830.3988839541
10034.5807659074	4781.2921599151	12432.3794815162	5041.6131649567	6671.5452192984	4234.3697829457	8810.546005474	4606.5734452439	6902.9113243674	6257.5332589855	5193.3729111039	7116.8472186204	11973.7868722016	5618.9505854254	14877.9244396252	8868.3407196278	7162.535425956	8145.3743019135	9493.4621031042	11796.889107623	2021.5756741537	1995.7244311769	2029.6031695648	5186.4019843476	4146.6716991953	6297.2706274089	2875.6130436317	8830.3988839541
9945.975606001	7077.5147836689	8690.6870563971	6519.5425382917	8062.8090792202	7967.6523886885	10569.7716162727	4357.5317093267	5489.9152984222	5182.240869289	7435.3308699983	4864.5302561501	4723.8431780586	8337.0507336714	9486.9917119107	11978.0568668785	9292.426182557	6354.4191512569	6500.4251240033	6966.8459436856	5017.1619453023	4345.9374994446	5583.883576497	5721.5266324118	6403.2925449418	5843.3078631369	5237.9159005983	5215.2399559678
